"","fecha","posicion","cancion","artista"
"408",1982-11-13,18,"American Heartbeat","Survivor"
"409",1991-05-04,18,"Save Some Love","Keedy"
"410",1997-12-27,18,"Spice Up Your Life","Spice Girls"
"411",2005-01-15,18,"Bring Em Out","T.I."
"412",1962-04-07,18,"(I've Got) Bonnie","Bobby Rydell"
"413",1965-05-22,18,"She's About A Mover","Sir Douglas Quintet"
"414",1968-12-07,18,"Bring It On Home To Me","Eddie Floyd"
"415",1973-06-30,18,"Boogie Woogie Bugle Boy","Bette Midler"
"416",1974-06-22,18,"Save The Last Dance For Me","The DeFranco Family featuring Tony DeFranco"
"417",1976-10-02,18,"Rock'n Me","Steve Miller"
"418",1979-11-10,18,"Broken Hearted Me","Anne Murray"
"419",1982-03-27,18,"Do You Believe In Love","Huey Lewis & The News"
"420",1984-09-08,18,"Cruel Summer","Bananarama"
"421",1985-04-13,18,"Along Comes A Woman","Chicago"
"422",1994-06-25,18,"Shine","Collective Soul"
"423",1996-05-18,18,"Sweet Dreams","La Bouche"
"424",2011-12-10,18,"Dance (A$$)","Big Sean Featuring Nicki Minaj"
"425",1961-09-30,18,"Bless You","Tony Orlando"
